x6	0	0	0	a	a	a1	1	1	12	1	0	20.4	13.85	90	1
x6	1	0	0	a	a	a1	2	1	12	1	1	20.4	13.85	60	1
x6	2	0	0	a	a	a1	3	1	12	1	2	20.4	13.85	30	1
x6	3	0	0	a	a	a1	4	1	12	1	3	20.4	13.85	0	1
x6	4	0	2	b	b	b4	1	1	12	1	4	20.4	13.85	330	1
x6	5	0	2	b	b	b4	2	1	12	1	5	20.4	13.85	300	1
x6	6	0	2	b	b	b4	3	1	12	1	6	20.4	13.85	270	1
x6	7	0	2	b	b	b4	4	1	12	1	7	20.4	13.85	240	1
x6	8	0	1	a	a	b3	1	1	12	1	8	20.4	13.85	210	1
x6	9	0	1	a	a	b3	2	1	12	1	9	20.4	13.85	180	1
x6	10	0	1	a	a	b3	3	1	12	1	10	20.4	13.85	150	1
x6	11	0	1	a	a	b3	4	1	12	1	11	20.4	13.85	120	1
x6	12	0	0	c	c	a2	1	1	16	1	0	25.3	7.75	90	2
x6	13	0	0	c	c	a2	2	1	16	1	1	25.3	7.75	67.5	2
x6	14	0	0	c	c	a2	3	1	16	1	2	25.3	7.75	45	2
x6	15	0	0	c	c	a2	4	1	16	1	3	25.3	7.75	22.5	2
x6	16	0	2	a	a	a4	1	1	16	1	4	25.3	7.75	0	2
x6	17	0	2	a	a	a4	2	1	16	1	5	25.3	7.75	337.5	2
x6	18	0	2	a	a	a4	3	1	16	1	6	25.3	7.75	315	2
x6	19	0	2	a	a	a4	4	1	16	1	7	25.3	7.75	292.5	2
x6	20	0	1	b	b	a3	1	1	16	1	8	25.3	7.75	270	2
x6	21	0	1	b	b	a3	2	1	16	1	9	25.3	7.75	247.5	2
x6	22	0	1	b	b	a3	3	1	16	1	10	25.3	7.75	225	2
x6	23	0	1	b	b	a3	4	1	16	1	11	25.3	7.75	202.5	2
x6	24	0	1	c	c	b2	1	1	16	1	12	25.3	7.75	180	2
x6	25	0	1	c	c	b2	2	1	16	1	13	25.3	7.75	157.5	2
x6	26	0	1	c	c	b2	3	1	16	1	14	25.3	7.75	135	2
x6	27	0	1	c	c	b2	4	1	16	1	15	25.3	7.75	112.5	2
x6	28	0	0	b	b	b1	1	1	12	2	0	19	13.85	90	0
x6	29	0	0	b	b	b1	2	1	12	2	1	19	13.85	60	0
x6	30	0	0	b	b	b1	3	1	12	2	2	19	13.85	30	0
x6	31	0	0	b	b	b1	4	1	12	2	3	19	13.85	0	0
csd	32	0	2	c	c	mix1	1	1	12	2	7	19	13.85	330	0
csd	33	0	2	c	c	mix1	2	1	12	2	6	19	13.85	300	0
csd	34	0	2	c	c	mix1	3	1	12	2	5	19	13.85	270	0
csd	35	0	2	c	c	mix1	4	1	12	2	4	19	13.85	240	0
csd	36	0	2	c	c	mix2	1	1	12	2	11	19	13.85	210	0
csd	37	0	2	c	c	mix2	2	1	12	2	10	19	13.85	180	0
csd	38	0	2	c	c	mix2	3	1	12	2	9	19	13.85	150	0
csd	39	0	2	c	c	mix2	4	1	12	2	8	19	13.85	120	0
