0	3	0	0
0	3	1	1
0	3	2	2
0	3	3	3
0	3	4	4
0	3	5	5
0	3	6	6
0	3	7	7
0	3	8	8
0	3	9	9
0	3	10	10
0	3	12	11
0	3	13	12
0	3	14	13
0	3	15	14
0	3	16	15
0	0	0	16
0	0	1	17
0	0	2	18
0	0	3	19
0	3	17	20
0	3	18	21
0	3	19	22
0	3	20	23
0	3	21	24
0	3	23	25
0	3	24	26
0	3	25	27
0	3	26	28
0	3	27	29
0	3	28	30
0	3	29	31
0	3	30	32
0	3	31	33
0	3	32	34
0	3	33	35
0	0	4	36
0	0	5	37
0	0	6	38
0	0	7	39
0	3	34	40
0	3	35	41
0	3	36	42
0	3	37	43
0	3	38	44
0	3	39	45
0	3	40	46
0	3	41	47
0	3	42	48
0	3	43	49
0	3	44	50
0	3	46	51
0	3	47	52
0	3	48	53
0	3	49	54
0	3	50	55
0	0	8	56
0	0	9	57
0	0	10	58
0	0	12	59
0	3	51	60
0	3	52	61
0	3	53	62
0	3	54	63
0	3	55	64
0	3	57	65
0	3	58	66
0	3	59	67
0	3	60	68
0	3	61	69
0	3	62	70
0	3	63	71
0	3	64	72
0	3	65	73
0	3	66	74
0	3	67	75
0	0	13	76
0	0	14	77
0	0	15	78
0	0	16	79
2	2	0	80
2	2	1	81
2	2	2	82
2	2	3	83
2	2	4	84
2	2	5	85
2	2	6	86
2	2	7	87
2	2	8	88
2	2	9	89
2	2	10	90
2	2	12	91
2	2	13	92
2	2	14	93
2	2	15	94
2	2	16	95
2	0	17	96
2	0	18	97
2	0	19	98
2	0	20	99
2	2	17	100
2	2	18	101
2	2	19	102
2	2	20	103
2	2	21	104
2	2	23	105
2	2	24	106
2	2	25	107
2	2	26	108
2	2	27	109
2	2	28	110
2	2	29	111
2	2	30	112
2	2	31	113
2	2	32	114
2	2	33	115
2	0	21	116
2	0	23	117
2	0	24	118
2	0	25	119
2	2	34	120
2	2	35	121
2	2	36	122
2	2	37	123
2	2	38	124
2	2	39	125
2	2	40	126
2	2	41	127
2	2	42	128
2	2	43	129
2	2	44	130
2	2	46	131
2	2	47	132
2	2	48	133
2	2	49	134
2	2	50	135
2	0	26	136
2	0	27	137
2	0	28	138
2	0	29	139
2	2	51	140
2	2	52	141
2	2	53	142
2	2	54	143
2	2	55	144
2	2	57	145
2	2	58	146
2	2	59	147
2	2	60	148
2	2	61	149
2	2	62	150
2	2	63	151
2	2	64	152
2	2	65	153
2	2	66	154
2	2	67	155
2	0	30	156
2	0	31	157
2	0	32	158
2	0	33	159
1	3	0	160
1	3	1	161
1	3	2	162
1	3	3	163
1	3	4	164
1	3	5	165
1	3	6	166
1	3	7	167
1	3	8	168
1	3	9	169
1	3	10	170
1	3	12	171
1	3	13	172
1	3	14	173
1	3	15	174
1	3	16	175
1	0	0	176
1	0	1	177
1	0	2	178
1	0	3	179
1	3	17	180
1	3	18	181
1	3	19	182
1	3	20	183
1	3	21	184
1	3	23	185
1	3	24	186
1	3	25	187
1	3	26	188
1	3	27	189
1	3	28	190
1	3	29	191
1	3	30	192
1	3	31	193
1	3	32	194
1	3	33	195
1	0	4	196
1	0	5	197
1	0	6	198
1	0	7	199
1	3	34	200
1	3	35	201
1	3	36	202
1	3	37	203
1	3	38	204
1	3	39	205
1	3	40	206
1	3	41	207
1	3	42	208
1	3	43	209
1	3	44	210
1	3	46	211
1	3	47	212
1	3	48	213
1	3	49	214
1	3	50	215
1	0	8	216
1	0	9	217
1	0	10	218
1	0	12	219
1	3	51	220
1	3	52	221
1	3	53	222
1	3	54	223
1	3	55	224
1	3	57	225
1	3	58	226
1	3	59	227
1	3	60	228
1	3	61	229
1	3	62	230
1	3	63	231
1	3	64	232
1	3	65	233
1	3	66	234
